% File Generated: 02-Feb-2012 01:11:12
% Dataset Collection: World Monthly Surface Station Climatology
% Type: TAVG - Monthly
% Version: LATEST
% Dataset Hash: 67f81e232bae4826df3d06d1b8a40739
% 
% ------------------------------------
% 
% This file is a plain text export of a portion of the temperature data contained 
% in Berkeley Earth Surface Temperature Analysis.
% 
% The associated dataset name is shown above, while this file should have the 
% name
% 
% 	station_change.txt
% 
% For general information about this data product, please refer to the data set 
% readme file: README.txt
% 
% The current file contains some information on when temperature stations are 
% known or suspected to have changed.  Currently, the only type of change 
% recorded here is changes in station location. The main temperature data, other 
% secondary data, and station metadata can be found in other files in the same 
% directory and should be distributed together.
% 
% The columns contained in this file are as follows:
% 
% 	Station ID: A unique integer identifying each station.  Metadata for the site 
% is contained in the associated files labeled "site_summary" or "site_detail".
% 
% 	Change Event Number: An integer indexing the change events at each station.
% 
% 	Change Date: The approximate date at which the change occurred expressed as 
% the year and decimal fraction of a year.
% 
% 	Change Type: An integer specifying the type of change that occurred (or may 
% have occurred).  Currently, the following values are allowed:
% 
% 		1) An explicitly declared station move.  (Nearly all of these originate from 
% US stations.)
% 
% 		2) A suspected change in station location, based on the report of a new 
% station location that is inconsistent with prior location reports given the 
% precision of the prior and new report.
% 
% The station changes reported here are currently based exclusively on the 
% metadata.  In the future, we may expand this file to document suspected changes 
% based on the data as well.
% 
% It is important to note that the "change date" is based on when the change was 
% recorded in the metadata.  It is not uncommon for such changes to be recorded 
% months or even years after the change was actually executed.  In addition, some 
% apparent changes in metadata may reflect corrections to the metadata that 
% occurred without any true change in the instrumentation.  It has been estimated 
% by NOAA that only about 50% of historical station moves in the United States 
% have been explicitly documented.  It is likely that the documentation rate for 
% moves in other countries is even lower.
% 
% 
% ------------------------------------
% Station ID, Change Event Number, Change Date, Change Type
% 
 60721	  1	1970.042	2
 60721	  1	1970.042	2
 60722	  1	1961.042	2
 60733	  1	1941.042	2
 60733	  2	1951.042	2
 60741	  1	1961.042	2
 60751	  1	1961.542	2
 60756	  1	1971.042	2
 60774	  1	1961.042	2
 60776	  1	1951.042	2
 60785	  1	1931.042	2
 60785	  2	1971.042	2
 60786	  1	1971.042	2
 60809	  1	1961.042	2
 60822	  1	1971.042	2
 60853	  1	1974.042	2
 60860	  1	1961.042	2
 60867	  1	1971.042	2
 60905	  1	1951.042	2
 60907	  1	1962.042	2
 60915	  1	1951.042	2
 60915	  2	1961.042	2
 60919	  1	1951.042	2
 60922	  1	1914.042	2
 60922	  2	1925.042	2
 60927	  1	1941.042	2
 60936	  1	1961.042	2
 60941	  1	1977.042	2
 60946	  1	1962.042	2
 60953	  1	1961.542	2
 60972	  1	1945.042	2
 60996	  1	1951.042	2
 60998	  1	1962.042	2
 61000	  1	1946.042	2
 61004	  1	1961.042	2
 61009	  1	1975.042	2
 61010	  1	1951.042	2
 61010	  1	1951.042	2
 61020	  1	1931.042	2
 61029	  1	1948.042	2
 61035	  1	1931.042	2
 61040	  1	1961.042	2
 61047	  1	1951.042	2
 61061	  1	1916.042	2
 61061	  2	1941.042	2
 61077	  1	1971.042	2
 61079	  1	1931.042	2
 61099	  1	1921.042	2
 61108	  1	1931.042	2
 61108	  2	1947.042	2
 61109	  1	1931.042	2
 61109	  2	1951.042	2
 61117	  1	1964.042	2
 61118	  1	1931.042	2
 61135	  1	1939.042	2
 61140	  1	1961.042	2
 61145	  1	1951.042	2
 61151	  1	1961.542	2
 61157	  1	1931.042	2
 61160	  1	1975.042	2
 61161	  1	1964.042	2
 61170	  1	1931.042	2
 61171	  1	1961.542	2
 61173	  1	1961.542	2
 61178	  1	1951.042	2
