% File Generated: 02-Feb-2012 01:11:10
% Dataset Collection: World Monthly Surface Station Climatology
% Type: TAVG - Monthly
% Version: LATEST
% Dataset Hash: 67f81e232bae4826df3d06d1b8a40739
% 
% ------------------------------------
% 
% This file is a plain text export of a portion of the temperature data contained 
% in Berkeley Earth Surface Temperature Analysis.
% 
% The associated dataset name is shown above, while this file should have the 
% name
% 
% 	data_characterization.txt
% 
% For general information about this data product, please refer to the data set 
% readme file: README.txt
% 
% The current file contains summary data about the information available in each 
% station's temperature time series.  The main temperature data, other secondary 
% data, and station metadata can be found in other files in the same directory 
% and should be distributed together.
% 
% The columns contained in this file are as follows:
% 
% {'Station ID', 'Series Number', 'Number of Data Points', ...
%     'Earliest Date', 'Most Recent Date', 'Unique Times', 'Missing Values', ...
%     'TOB Values', 'Contrib Values', 'Max Value', 'Min Value', 'Mean', 'Median', 
% ...
%     'First Quartile', 'Last Quartile', 'Standard Deviation', 'Bad Flags'
% 
% 	Station ID: A unique integer identifying each station.  Metadata for the site 
% is contained in the associated files labeled "site_summary" or "site_detail".
% 
% 	Series Number: An integer identifying each time series at the specified site.  
% In many cases there is only one time series for each site, and it is labeled 
% "1".  However, sometimes there are multiple instruments or multiple techniques 
% used to report temperature at a given location.  
% 
% 	Number of Data Points: The number of data points reported.  Note that some 
% data products allow for the possibility that multiple values (e.g. an original 
% value and a corrected one) were reported for the same day so the number of data 
% points may be greater than the number of unique time points.  See "data.txt" 
% for additional information on multiply-valued series, if relevant.
% 
% 	Earliest Date: The earliest date for which data is reported.
% 
% 	Most Recent Date: The most recent date for which data is reported.
% 
% 	Unique Times: The number of unique dates reporting data.
% 
% 	Missing Values: The number of reporting oportunities between the earliest and 
% most recent date for which there is no data reported.
% 
% 	TOB Values Known: The number of data values where a time of observation is 
% also reported.  Time of observation defines the local climatological day.  
% Rather than reporting midnight-to-midnight values, it is not uncommon for low 
% tech stations to be recorded every morning.  In which case the local 
% climatological day may run from 6AM-to-6AM.  Local time of observation may 
% change a number of times during the history of a station.  TOB values are most 
% often reported for US stations and are only rarely available in other parts of 
% the world.
% 
% 	Underlying Values Known: The number of data values for which the underlying 
% number of observations that contributed to the current value were reported.  
% Monthly or daily averages often derive from underyling data recorded daily, 
% hourly, or at some other frequency.  When possible, we report the number of 
% underlying values that were combined into the current data point.
% 
% 	Max Value: The highest temperature reported in this record.  Temperature in 
% Celsius. 
% 
% 	Min Value: The lowest temperature reported in this record.  Temperature in 
% Celsius. 
% 
% 	Mean: The mean temperature reported in this record.  Temperature in Celsius. 
% 
% 	Median: The median temperature reported in this record.  Temperature in 
% Celsius. 
% 
% 	First Quartile: The temperature at which 1/4 of the reported data is below 
% this value.  Temperature in Celsius. 
% 
% 	Last Quartile: The temperature at which 1/4 of the reported data is above this 
% value.  Temperature in Celsius. 
% 
% 	Standard Deviation: The standard deviation of the temperature data in degrees 
% Celsius.
% 
% 	Bad Flags: The number of data values in the current data set that quality 
% control processes suggested are bad.
% 
% 
% ------------------------------------
% Station ID, Series Number, Number of Data Points, Earliest Date, Most Recent Date, Unique Times, Missing Values, TOB Values Known, Underyling Values Known, Max Value, Min Value, Mean, Median, First Quartile, Last Quartile, Standard Deviation, Bad Flags
% 
1	1	20	1986.125	1987.958	20	3	0	0	-27.600	-64.000	-49.975	-53.500	-60.200	-41.500	 12.408	0	
2	1	60	1978.042	1982.958	60	0	0	0	-25.500	-63.900	-48.865	-54.050	-59.500	-39.400	 12.633	0	
3	1	17	1986.125	1987.458	17	0	0	0	-24.800	-64.700	-49.924	-54.400	-59.700	-39.100	 12.624	0	
4	1	12	1986.125	1987.542	12	6	0	0	-24.700	-61.400	-50.425	-54.550	-59.200	-50.500	 11.853	0	
5	1	4	1986.042	1986.625	4	4	0	0	-16.200	-40.700	-28.775	-29.100	-40.700	-22.400	 11.407	0	
6	1	23	1986.125	1987.958	23	0	0	0	 -5.800	-46.800	-27.765	-30.500	-37.200	-18.600	 11.873	0	
8	1	9	1987.042	1987.958	9	3	0	0	 -5.300	-30.500	-20.111	-24.000	-28.600	-15.200	  9.529	0	
9	1	6	1984.125	1984.542	6	0	0	0	-17.000	-31.400	-25.000	-25.300	-29.100	-21.900	  5.176	0	
10	1	36	1966.042	1968.958	36	0	0	0	-29.400	-73.900	-56.353	-62.200	-67.800	-43.900	 13.987	0	
11	1	59	1981.125	1985.958	59	0	0	0	 -4.900	-41.700	-23.583	-25.700	-32.100	-15.600	  9.901	0	
12	1	39	1981.125	1985.958	39	20	0	0	 -6.300	-42.900	-24.423	-25.200	-35.000	-16.200	 10.748	0	
13	1	11	1987.125	1987.958	11	0	0	0	 -7.300	-35.200	-27.518	-30.800	-34.900	-28.200	  9.476	0	
14	1	10	1958.208	1958.958	10	0	0	0	-33.400	-71.900	-59.600	-63.550	-69.500	-54.300	 12.640	0	
15	1	8	1986.042	1987.958	8	16	0	0	 -4.200	-13.700	 -8.450	 -8.800	-10.100	 -6.200	  2.977	0	
16	1	11	1984.125	1984.958	11	0	0	0	 -7.000	-44.600	-26.427	-26.700	-38.900	-18.300	 12.140	0	
17	1	21	1984.125	1985.958	21	2	0	0	 -4.500	-41.100	-22.595	-23.100	-30.900	-15.700	 10.370	0	
18	1	73	1981.125	1987.958	73	10	0	0	 -5.200	-43.600	-25.967	-27.800	-34.400	-17.700	 10.041	0	
19	1	131	1961.042	1979.708	131	94	0	0	 -3.300	-40.600	-21.996	-23.900	-31.500	-12.600	 10.668	0	
21	1	2	1981.875	1993.875	2	143	0	0	 -0.100	-13.500	 -6.800	 -6.800	-13.500	 -0.100	  9.475	0	
22	1	11	1984.125	1984.958	11	0	0	0	 -3.300	-25.500	-18.055	-18.800	-24.500	-17.200	  7.036	0	
23	1	11	1987.125	1987.958	11	0	0	0	 -4.700	-30.000	-20.218	-22.400	-24.700	-19.100	  7.350	0	
24	1	6	1983.125	1983.542	6	0	0	0	-16.100	-34.900	-24.867	-21.900	-33.900	-20.500	  7.717	0	
26	1	5	1982.042	1982.375	5	0	0	0	 -6.400	-25.000	-18.220	-24.000	-25.000	-11.500	  8.660	0	
27	1	24	1984.042	1985.958	24	0	0	0	 -3.700	-37.900	-20.517	-21.200	-28.100	-14.400	  9.511	0	
28	1	34	1980.125	1982.958	34	1	0	0	-11.100	-29.800	-23.106	-25.750	-27.100	-17.700	  5.765	0	
